YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,DEP_DEL15,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
2017,1,3,6,1,RU,VQBWW,RU119 ,SVO,PVG,1020,1041,21,1900,1952,52,1,1,0,0,520,551,3987
2018,2,6,4,1,RU,VQBWW,RU119 ,SVO,PVG,1015,948,-27,1905,1831,-34,0,0,0,0,530,523,4063
2018,4,11,12,1,RU,VQBWW,RU119 ,SVO,PVG,705,1446,461,1600,2336,456,1,1,0,0,535,530,4102
2017,2,4,3,1,RU,VQBHE,RU119 ,SVO,PVG,1015,934,-41,1905,1800,-65,0,0,0,0,530,506,4063
2017,2,4,10,1,RU,VQBHE,RU119 ,SVO,PVG,1015,910,-65,1905,1735,-90,0,0,0,0,530,505,4063
2017,4,10,30,1,RU,VQBHE,RU119 ,SVO,PVG,715,631,-44,1600,1536,-24,0,0,0,0,525,545,4025
2017,4,11,13,1,RU,VQBHE,RU119 ,SVO,PVG,715,707,-8,1600,1521,-39,0,0,0,0,525,494,4025
2017,4,11,20,1,RU,VQBHE,RU119 ,SVO,PVG,715,700,-15,1600,1610,10,0,0,0,0,525,550,4025
2018,3,7,30,1,RU,VQBHE,RU119 ,SVO,PVG,1015,1008,-7,1905,1918,13,0,0,0,0,530,550,4063
2017,1,1,9,1,RU,VQBIA,RU119 ,SVO,PVG,1020,1009,-11,1900,1846,-14,0,0,0,0,520,517,3987
2018,1,3,26,1,RU,VQBIA,RU119 ,SVO,PVG,1015,1000,-15,1905,1820,-45,0,0,0,0,530,500,4063
2017,4,12,11,1,RU,VPBBL,RU119 ,SVO,PVG,715,707,-8,1600,1552,-8,0,0,0,0,525,525,4025
2018,2,4,2,1,RU,VPBBL,RU119 ,SVO,PVG,1015,924,-51,1905,1814,-51,0,0,0,0,530,530,4063
2018,3,8,7,2,RU,VPBBL,RU119 ,SVO,PVG,715,655,-20,1605,1555,-10,0,0,0,0,530,540,4063
2018,3,8,20,1,RU,VPBBL,RU119 ,SVO,PVG,1015,1009,-6,1905,1859,-6,0,0,0,0,530,530,4063
2018,4,12,3,1,RU,VPBBL,RU119 ,SVO,PVG,705,1044,219,1600,1931,211,1,1,0,0,535,527,4102
2019,1,1,21,1,RU,VPBBL,RU119 ,SVO,PVG,750,1026,156,1645,1857,132,1,1,0,0,535,511,4102
2017,2,5,29,1,RU,VPBBP,RU119 ,SVO,PVG,1015,1000,-15,1905,1850,-15,0,0,0,0,530,530,4063
2017,3,7,25,2,RU,VPBBP,RU119 ,SVO,PVG,1000,525,-275,1850,1425,-265,0,0,0,0,530,540,4063
2017,4,10,16,1,RU,VPBBP,RU119 ,SVO,PVG,1015,940,-35,1905,1837,-28,0,0,0,0,530,537,4063
2018,3,7,16,1,RU,VPBBP,RU119 ,SVO,PVG,1015,359,1064,1905,1258,1073,1,1,0,0,530,539,4063
2018,3,9,10,1,RU,VPBBP,RU119 ,SVO,PVG,1015,956,-19,1905,1856,-9,0,0,0,0,530,540,4063
2018,4,10,15,1,RU,VPBBP,RU119 ,SVO,PVG,1015,1000,-15,1905,1850,-15,0,0,0,0,530,530,4063
2018,4,11,5,1,RU,VPBBP,RU119 ,SVO,PVG,1215,1140,-35,2110,2035,-35,0,0,0,0,535,535,4102
2018,3,8,27,1,RU,VPBBY,RU119 ,SVO,PVG,1015,1005,-10,1905,1910,5,0,0,0,0,530,545,4063
2018,1,1,8,1,RU,VQBFE,RU119 ,SVO,PVG,715,749,34,1600,1620,20,1,1,0,0,525,511,4025
2018,3,9,3,1,RU,VQBFE,RU119 ,SVO,PVG,1015,2129,674,1905,616,671,1,1,0,0,530,527,4063
2018,4,11,26,1,RU,VQBFE,RU119 ,SVO,PVG,705,710,5,1600,1607,7,0,0,0,0,535,537,4102
2019,1,1,14,1,RU,VQBFE,RU119 ,SVO,PVG,705,653,-12,1600,1622,22,0,1,0,0,535,569,4102
2019,1,2,18,1,RU,VQBFE,RU119 ,SVO,PVG,705,656,-9,1600,1608,8,0,0,0,0,535,552,4102
2017,4,11,6,1,RU,VQBFU,RU119 ,SVO,PVG,715,651,-24,1600,1521,-39,0,0,0,0,525,510,4025
2018,1,1,15,1,RU,VQBFU,RU119 ,SVO,PVG,715,757,42,1600,1708,68,1,1,0,0,525,551,4025
2018,1,3,5,1,RU,VQBFU,RU119 ,SVO,PVG,715,1419,424,1600,2253,413,1,1,0,0,525,514,4025
2018,2,4,17,2,RU,VQBFU,RU119 ,SVO,PVG,1000,2049,649,1850,511,621,1,1,0,0,530,502,4063
2018,2,5,28,1,RU,VQBFU,RU119 ,SVO,PVG,1015,1002,-13,1905,1848,-17,0,0,0,0,530,526,4063
2018,3,9,18,2,RU,VQBFU,RU119 ,SVO,PVG,955,1609,374,1845,112,387,1,1,0,0,530,543,4063
2018,4,10,22,1,RU,VQBFU,RU119 ,SVO,PVG,1015,1529,314,1905,2,297,1,1,0,0,530,513,4063
2019,1,2,25,1,RU,VQBFU,RU119 ,SVO,PVG,925,915,-10,1820,1810,-10,0,0,0,0,535,535,4102
2017,4,10,10,2,RU,VQBGZ,RU119 ,SVO,PVG,910,845,-25,1800,1735,-25,0,0,0,0,530,530,4063
2019,1,2,4,1,RU,VQBGZ,RU119 ,SVO,PVG,705,656,-9,1600,1531,-29,0,0,0,0,535,515,4102
2018,1,1,22,1,RU,VQBLQ,RU119 ,SVO,PVG,715,657,-18,1600,1551,-9,0,0,0,0,525,534,4025
2018,3,8,14,2,RU,VQBLQ,RU119 ,SVO,PVG,1000,1001,1,1850,1836,-14,0,0,0,0,530,515,4063
2017,4,12,4,1,RU,VQBLR,RU119 ,SVO,PVG,715,805,50,1600,1627,27,1,1,0,0,525,502,4025
2018,3,7,2,1,RU,VQBLR,RU119 ,SVO,PVG,1230,1347,77,2120,2227,67,1,1,0,0,530,520,4063
2018,3,9,24,1,RU,VQBLR,RU119 ,SVO,PVG,1015,1336,201,1905,2224,199,1,1,0,0,530,528,4063
